date,fips,state_name,state_abbr,county,series_complete_18plus,series_complete_18plus_pop_pct,series_complete_65plus,series_complete_65plus_pop_pct,series_complete_yes,series_complete_pop_pct,completeness_pct,Biden,Trump,total_votes,biden_pct,biden_pct_bucket,rural_urban_continuum_code_2013,percent_of_adults_with_a_bachelors_degree_or_higher_2014_18,medhhinc_2018,povall_2018
2021-05-08,01075,Alabama,AL ,Lamar,3458,31.9,1867,61,3460,25.1,92,978,6168,7146,0.13685978169605373,Trump +10 or more,8,12.5,40936,2374
2021-05-08,01077,Alabama,AL ,Lauderdale,24858,33.3,11589,61,24928,26.9,92,11872,31578,43450,0.27323360184119677,Trump +10 or more,3,23.9,48707,12645
2021-05-08,01079,Alabama,AL ,Lawrence,8367,32.4,4100,65.2,8380,25.5,92,3544,12266,15810,0.22416192283364958,Trump +10 or more,3,11.7,43909,6297
2021-05-08,01081,Alabama,AL ,Lee,38617,29.7,10965,53.7,38962,23.7,92,27600,42019,69619,0.39644349961935677,Trump +10 or more,3,34.1,48937,30075
2021-05-08,01083,Alabama,AL ,Limestone,19360,25.2,8559,56.8,19439,19.7,92,13510,34337,47847,0.28235835057579367,Trump +10 or more,2,25.5,64863,10633
2021-05-08,01085,Alabama,AL ,Lowndes,2276,30,1002,52.2,2284,23.5,92,4968,1835,6803,0.7302660590915773,Biden + 10 or more,2,14.1,33973,2474
2021-05-08,01087,Alabama,AL ,Macon,4614,30.8,2053,54.2,4644,25.7,92,7084,1539,8623,0.8215238316131277,Biden + 10 or more,6,20.7,32495,5031
2021-05-08,01089,Alabama,AL ,Madison,113366,38.8,41693,73,114109,30.6,92,86885,102395,189280,0.4590289518174134,Biden +/- 10,2,41.7,63755,42667
2021-05-08,01091,Alabama,AL ,Marengo,5360,36.7,2444,65.2,5371,28.5,92,5476,5337,10813,0.5064274484416905,Biden +/- 10,7,15.4,37733,4499
2021-05-08,01093,Alabama,AL ,Marion,5701,24.2,3077,48.2,5710,19.2,92,1457,12190,13647,0.10676339122151389,Trump +10 or more,7,13.1,37887,5844
2021-05-08,01095,Alabama,AL ,Marshall,20377,28.1,9921,59.2,20457,21.1,92,5880,33094,38974,0.15086981064299276,Trump +10 or more,4,19.2,46233,17341
2021-05-08,01097,Alabama,AL ,Mobile,99360,31.4,40732,59.3,99890,24.2,92,78754,100605,179359,0.43908585574183623,Trump +10 or more,2,22.9,43598,84539
2021-05-08,01099,Alabama,AL ,Monroe,4486,27.4,2177,49.6,4496,21.7,92,4425,6129,10554,0.41927231381466745,Trump +10 or more,7,14.1,39556,4560
2021-05-08,01101,Alabama,AL ,Montgomery,58824,33.9,20322,57.6,59260,26.2,92,64065,33122,97187,0.6591931019580808,Biden + 10 or more,2,32.1,49640,43567
2021-05-08,01103,Alabama,AL ,Morgan,27775,30.1,13158,61.7,27891,23.3,92,13159,39504,52663,0.24987182651956782,Trump +10 or more,3,21.7,52797,15419
2021-05-08,01105,Alabama,AL ,Perry,2427,34.4,1004,55.9,2441,27.4,92,3849,1336,5185,0.7423336547733848,Biden + 10 or more,8,15.7,26814,2943
2021-05-08,01107,Alabama,AL ,Pickens,4624,28.8,2036,52.4,4633,23.2,92,4017,5590,9607,0.4181326116373478,Trump +10 or more,3,13.5,37586,4177
2021-05-08,01109,Alabama,AL ,Pike,7124,26.6,3190,63.4,7143,21.6,92,5613,8020,13633,0.4117215579843028,Trump +10 or more,6,23.6,37259,7315
2021-05-08,01111,Alabama,AL ,Randolph,4311,24.1,2308,48.7,4312,19,92,2203,8548,10751,0.20491117105385545,Trump +10 or more,6,14.9,40546,4375
2021-05-08,01113,Alabama,AL ,Russell,10613,24.1,4747,55.3,10658,18.4,92,11078,9796,20874,0.5307080578710357,Biden +/- 10,2,16.5,39104,12384
2021-05-08,01117,Alabama,AL ,Shelby,38260,22.9,13719,39.5,38554,17.7,92,33036,79428,112464,0.29374733247972684,Trump +10 or more,1,42.1,75663,16916
2021-05-08,01115,Alabama,AL ,St. Clair,16441,23.7,7765,51.5,16479,18.4,92,7698,36119,43817,0.17568523632380126,Trump +10 or more,1,16.5,57284,10432
2021-05-08,01119,Alabama,AL ,Sumter,3313,32.9,1415,60.9,3320,26.7,92,4639,1598,6237,0.7437870771204105,Biden + 10 or more,8,21.8,27859,4076
2021-05-08,01121,Alabama,AL ,Talladega,14739,23.3,7107,48.1,14780,18.5,92,13092,22210,35302,0.3708571752308651,Trump +10 or more,4,14.3,41630,14825
2021-05-08,01123,Alabama,AL ,Tallapoosa,8883,27.6,4717,52.5,8898,22,92,5815,14905,20720,0.28064671814671815,Trump +10 or more,6,18.3,42205,7839
2021-05-08,01125,Alabama,AL ,Tuscaloosa,44856,27.1,16746,58.2,45046,21.5,92,37514,50961,88475,0.42400678157671656,Trump +10 or more,3,30.3,52557,33330
2021-05-08,01127,Alabama,AL ,Walker,15583,31.6,7717,62.2,15617,24.6,92,4826,25947,30773,0.15682578884086698,Trump +10 or more,1,11.6,45434,11231
2021-05-08,01129,Alabama,AL ,Washington,3619,28.4,1830,56.8,3628,22.2,92,2253,6554,8807,0.2558192346996707,Trump +10 or more,8,11.1,44424,2846
2021-05-08,01131,Alabama,AL ,Wilcox,2844,35.8,1275,60.6,2852,27.5,92,4036,1826,5862,0.6885022176731491,Biden + 10 or more,9,12.5,25385,3504
2021-05-08,01133,Alabama,AL ,Winston,2680,14.2,1494,28.9,2682,11.4,92,974,10187,11161,0.08726816593495207,Trump +10 or more,6,13.5,41156,4338
2021-05-08,02013,Alaska,AK ,Aleutians East,989,32.1,135,38.5,1016,30.4,97.6,NA,NA,NA,9999,NA,9,12.7,70081,544
2021-05-08,02016,Alaska,AK ,Aleutians West,1599,32,220,52.5,1612,28.6,97.6,NA,NA,NA,9999,NA,9,16.4,82633,550
2021-05-08,02020,Alaska,AK ,Anchorage,111042,50.7,26736,79.2,113389,39.4,97.6,NA,NA,NA,9999,NA,2,35.3,82113,27075
2021-05-08,02050,Alaska,AK ,Bethel,7638,64.5,1126,77.8,7927,43.1,97.6,NA,NA,NA,9999,NA,7,12.3,44304,5869
2021-05-08,02060,Alaska,AK ,Bristol Bay,435,63.3,113,83.1,444,53.1,97.6,NA,NA,NA,9999,NA,9,22.3,77257,96
2021-05-08,02068,Alaska,AK ,Denali,733,43.2,167,70.2,746,35.6,97.6,NA,NA,NA,9999,NA,8,43.5,75477,135
2021-05-08,02070,Alaska,AK ,Dillingham,1584,47,319,64.6,1638,33.3,97.6,NA,NA,NA,9999,NA,9,19.3,54524,1091
2021-05-08,02090,Alaska,AK ,Fairbanks North Star,28600,38.7,7160,66.1,29276,30.2,97.6,NA,NA,NA,9999,NA,3,32.6,74268,8104
2021-05-08,02100,Alaska,AK ,Haines,1314,63.4,412,75.2,1339,52.9,97.6,NA,NA,NA,9999,NA,9,37.4,58943,259
2021-05-08,02105,Alaska,AK ,Hoonah-Angoon,1097,62.2,372,72.1,1123,52.3,97.6,NA,NA,NA,9999,NA,9,23.4,51188,370
2021-05-08,02110,Alaska,AK ,Juneau,16030,63.5,3928,88.1,16475,51.5,97.6,NA,NA,NA,9999,NA,5,39.5,79173,2299
2021-05-08,02122,Alaska,AK ,Kenai Peninsula,18140,39.8,7027,65.2,18387,31.3,97.6,NA,NA,NA,9999,NA,7,23.3,65439,7103
2021-05-08,02130,Alaska,AK ,Ketchikan Gateway,5733,52.7,1727,75.4,5841,42,97.6,NA,NA,NA,9999,NA,7,24.5,68309,1244
2021-05-08,02150,Alaska,AK ,Kodiak Island,5505,56.4,1241,84.1,5615,43.2,97.6,NA,NA,NA,9999,NA,7,26,74109,1073
2021-05-08,02158,Alaska,AK ,Kusilvak Census Area,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9999,NA,9,4.8,32728,2905
2021-05-08,02164,Alaska,AK ,Lake and Peninsula,629,55.4,117,63.9,637,40,97.6,NA,NA,NA,9999,NA,9,15.8,49403,288
2021-05-08,02170,Alaska,AK ,Matanuska-Susitna,24539,30.8,7872,57.2,25091,23.2,97.6,NA,NA,NA,9999,NA,2,21.2,74649,10937
2021-05-08,02180,Alaska,AK ,Nome,4669,71.3,679,84.6,4873,48.7,97.6,NA,NA,NA,9999,NA,7,14.6,55318,2168
2021-05-08,02185,Alaska,AK ,North Slope,2361,32.8,404,54.9,2447,24.9,97.6,NA,NA,NA,9999,NA,7,16.6,89276,1094
2021-05-08,02188,Alaska,AK ,Northwest Arctic,2633,54.2,428,76.8,2766,36.3,97.6,NA,NA,NA,9999,NA,7,11.7,59337,1604
2021-05-08,02195,Alaska,AK ,Petersburg,1773,68.1,563,84,1804,55.2,97.6,NA,NA,NA,9999,NA,9,27.6,66075,232
2021-05-08,02198,Alaska,AK ,Prince of Wales-Hyder,2117,43.9,707,62.8,2135,34.4,97.6,NA,NA,NA,9999,NA,9,17.6,49356,1057
2021-05-08,02220,Alaska,AK ,Sitka,4513,67,1126,82.6,4623,54.4,97.6,NA,NA,NA,9999,NA,7,32.6,71825,656
2021-05-08,02230,Alaska,AK ,Skagway,669,66.8,139,74.3,677,57.2,97.6,NA,NA,NA,9999,NA,9,33.7,74635,49
2021-05-08,02240,Alaska,AK ,Southeast Fairbanks,1372,26.5,590,54.7,1381,20,97.6,NA,NA,NA,9999,NA,9,19.1,63527,918
2021-05-08,02275,Alaska,AK ,Wrangell,1045,52,378,61.6,1055,42.2,97.6,NA,NA,NA,9999,NA,9,20.7,57832,287
2021-05-08,02282,Alaska,AK ,Yakutat,340,71.3,90,73.8,342,59.1,97.6,NA,NA,NA,9999,NA,9,20,59523,79
2021-05-08,02290,Alaska,AK ,Yukon-Koyukuk,2541,67.4,648,78.8,2593,49.6,97.6,NA,NA,NA,9999,NA,9,13.4,38912,1259
2021-05-08,04001,Arizona,AZ ,Apache,32621,62.2,8605,75.9,34461,47.9,97.5,23293,11442,34735,0.6705916222829998,Biden + 10 or more,6,11.7,33652,26435
2021-05-08,04003,Arizona,AZ ,Cochise,39495,39.9,17945,61.6,39598,31.4,97.5,23732,35557,59289,0.4002766111757662,Trump +10 or more,3,23,49164,18273
2021-05-08,04005,Arizona,AZ ,Coconino,63875,55.7,17766,95.2,64984,45.3,97.5,44698,27052,71750,0.6229686411149826,Biden + 10 or more,3,35.6,60187,20964
2021-05-08,04007,Arizona,AZ ,Gila,20746,47.8,9375,59.1,20919,38.7,97.5,8943,18377,27320,0.32734260614934113,Trump +10 or more,4,18.5,43585,10804
2021-05-08,04009,Arizona,AZ ,Graham,13794,48.4,4485,82.4,13905,35.8,97.5,4034,10749,14783,0.27288101197321246,Trump +10 or more,7,15.3,50157,7118
2021-05-08,04011,Arizona,AZ ,Greenlee,2685,38.8,811,62.5,2686,28.3,97.5,1182,2433,3615,0.3269709543568465,Trump +10 or more,7,11.9,65818,985
2021-05-08,04012,Arizona,AZ ,La Paz,6395,36.3,3945,47,6451,30.6,97.5,2236,5129,7365,0.3035980991174474,Trump +10 or more,6,12.4,37350,4921
2021-05-08,04013,Arizona,AZ ,Maricopa,1249335,36.4,446598,64.1,1264655,28.2,97.5,1040774,995665,2036439,0.5110754606447824,Biden +/- 10,1,32,65234,535183
2021-05-08,04015,Arizona,AZ ,Mohave,44434,25.1,28055,42.6,44479,21,97.5,24831,78535,103366,0.24022405820095583,Trump +10 or more,3,12.9,45129,34411
2021-05-08,04017,Arizona,AZ ,Navajo,40038,48.9,13424,64.4,41419,37.3,97.5,23383,27657,51040,0.4581308777429467,Biden +/- 10,4,15.8,40650,30876
2021-05-08,04019,Arizona,AZ ,Pima,394512,47.4,160147,75.3,399402,38.1,97.5,304981,207758,512739,0.5948074946512748,Biden + 10 or more,2,31.9,53395,164927
2021-05-08,04021,Arizona,AZ ,Pinal,121356,33.7,57059,59.1,122199,26.4,97.5,75106,107077,182183,0.4122558087198037,Trump +10 or more,1,19,58848,54399
2021-05-08,04023,Arizona,AZ ,Santa Cruz,23316,68.3,7752,90.2,23486,50.5,97.5,13138,6194,19332,0.6795985930064142,Biden + 10 or more,4,21,40545,11287
2021-05-08,04025,Arizona,AZ ,Yavapai,66110,33.5,40512,53,66273,28.2,97.5,49602,91527,141129,0.35146568033501263,Trump +10 or more,3,25.2,48758,30060
2021-05-08,04027,Arizona,AZ ,Yuma,70924,44.3,24462,59.2,71900,33.6,97.5,32210,36534,68744,0.4685499825439311,Biden +/- 10,3,14.8,44116,39648
2021-05-08,05001,Arkansas,AR ,Arkansas,5403,40.1,2211,62.3,5441,31.1,89,1818,4304,6122,0.29696177719699446,Trump +10 or more,6,15.5,43887,3120
2021-05-08,05003,Arkansas,AR ,Ashley,4939,32.4,2473,60.1,4957,25.2,89,2125,5548,7673,0.2769451322820279,Trump +10 or more,7,13.2,41127,3876
2021-05-08,05005,Arkansas,AR ,Baxter,11397,33.1,6776,51.9,11464,27.3,89,4635,15836,20471,0.22641785941087392,Trump +10 or more,7,18.3,39686,6216
2021-05-08,05007,Arkansas,AR ,Benton,68680,33.3,21272,56.1,69675,25,89,42249,73965,116214,0.3635448396922918,Trump +10 or more,2,32.4,68978,23290
2021-05-08,05009,Arkansas,AR ,Boone,7281,25.2,3878,49.5,7340,19.6,89,3064,13652,16716,0.18329743957884662,Trump +10 or more,7,16,44482,5472
2021-05-08,05011,Arkansas,AR ,Bradley,3103,37.9,1339,64.7,3107,28.9,89,1214,2335,3549,0.3420681882220344,Trump +10 or more,7,15.2,37729,2329
2021-05-08,05013,Arkansas,AR ,Calhoun,1014,24.1,504,44.2,1015,19.6,89,479,1636,2115,0.2264775413711584,Trump +10 or more,9,12.1,44969,800
2021-05-08,05015,Arkansas,AR ,Carroll,6932,31.1,3311,48.9,6975,24.6,89,4023,7424,11447,0.35144579365772693,Trump +10 or more,6,20.4,45023,4499
2021-05-08,05017,Arkansas,AR ,Chicot,3090,39.1,1472,68.9,3103,30.7,89,2260,1752,4012,0.5633100697906281,Biden + 10 or more,7,14.7,31787,3039
2021-05-08,05019,Arkansas,AR ,Clark,6106,33.8,2618,69.8,6153,27.6,89,3438,4616,8054,0.4268686367022598,Trump +10 or more,7,27.6,45408,3838
2021-05-08,05021,Arkansas,AR ,Clay,3952,34.5,1945,61.1,3966,27.3,89,962,4086,5048,0.19057052297939778,Trump +10 or more,7,11.6,37687,3035
2021-05-08,05023,Arkansas,AR ,Cleburne,6094,30.1,3786,55.8,6109,24.5,89,1988,10328,12316,0.16141604417018512,Trump +10 or more,6,14.9,44902,3573
2021-05-08,05025,Arkansas,AR ,Cleveland,2275,36.5,1016,59.6,2284,28.7,89,651,2867,3518,0.18504832291074474,Trump +10 or more,3,16.2,47600,1232
2021-05-08,05027,Arkansas,AR ,Columbia,5607,30.1,2368,56.9,5678,24.2,89,2814,5500,8314,0.3384652393553043,Trump +10 or more,7,20.6,40909,4799
2021-05-08,05029,Arkansas,AR ,Conway,6407,39.7,2696,65.5,6451,30.9,89,2615,5694,8309,0.3147189794199061,Trump +10 or more,6,16,44565,3693
2021-05-08,05031,Arkansas,AR ,Craighead,24484,29.6,7940,51.5,24705,22.4,89,11921,25558,37479,0.31807145334720777,Trump +10 or more,3,26.3,45615,18768
2021-05-08,05033,Arkansas,AR ,Crawford,12890,26.9,5447,50.2,12945,20.5,89,4959,18607,23566,0.21043028091318,Trump +10 or more,2,15.3,47363,10027
2021-05-08,05035,Arkansas,AR ,Crittenden,9192,26.3,3177,45.6,9239,19.3,89,8325,7244,15569,0.534716423662406,Biden +/- 10,1,18,42606,9056
2021-05-08,05037,Arkansas,AR ,Cross,4359,34.6,1866,58.9,4368,26.6,89,1772,4946,6718,0.2637689788627568,Trump +10 or more,6,15.4,41214,2940
2021-05-08,05039,Arkansas,AR ,Dallas,2241,40.5,1084,63.4,2252,32.1,89,963,1573,2536,0.3797318611987382,Trump +10 or more,6,13.7,37259,1442
2021-05-08,05041,Arkansas,AR ,Desha,3579,42.2,1572,70.6,3640,32,89,2016,1921,3937,0.5120650241300483,Biden +/- 10,6,12.4,36132,2780
2021-05-08,05043,Arkansas,AR ,Drew,4778,33.5,1870,56.4,4801,26.4,89,2426,4349,6775,0.3580811808118081,Trump +10 or more,6,20.6,42494,3391
2021-05-08,05045,Arkansas,AR ,Faulkner,33499,34.4,11031,68.1,33848,26.9,89,18347,34421,52768,0.3476917828987265,Trump +10 or more,2,30,53882,18571
2021-05-08,05047,Arkansas,AR ,Franklin,4679,34,2146,60.7,4694,26.5,89,1300,5677,6977,0.18632650136161674,Trump +10 or more,6,11.8,43696,3202
2021-05-08,05049,Arkansas,AR ,Fulton,2202,22.4,1098,33.8,2204,17.7,89,1035,3961,4996,0.20716573258606885,Trump +10 or more,9,11.8,35630,2481
2021-05-08,05051,Arkansas,AR ,Garland,24937,31.3,13273,55,25140,25.3,89,14045,29069,43114,0.3257642529108874,Trump +10 or more,3,20.2,43610,19844
2021-05-08,05053,Arkansas,AR ,Grant,4255,29.9,1833,54.4,4288,23.5,89,1268,6794,8062,0.15728107169436864,Trump +10 or more,2,18.3,52050,2353
2021-05-08,05055,Arkansas,AR ,Greene,10395,30.3,4161,56.4,10433,23,89,3045,12651,15696,0.19399847094801223,Trump +10 or more,4,15.9,46512,7361
2021-05-08,05057,Arkansas,AR ,Hempstead,2758,17.2,1147,28.8,2760,12.8,89,2138,4470,6608,0.32354721549636806,Trump +10 or more,6,15.1,38682,4424
2021-05-08,05059,Arkansas,AR ,Hot Spring,7639,28.5,3494,53.5,7675,22.7,89,3082,9202,12284,0.2508954737870401,Trump +10 or more,6,14.7,47205,5844
2021-05-08,05061,Arkansas,AR ,Howard,3348,34.3,1511,63.3,3358,25.4,89,1340,3367,4707,0.28468238793286593,Trump +10 or more,6,14.7,40199,2271
2021-05-08,05063,Arkansas,AR ,Independence,7011,24.5,3058,45,7033,18.6,89,2806,11250,14056,0.19963005122367672,Trump +10 or more,7,18.9,45596,5302
2021-05-08,05065,Arkansas,AR ,Izard,2694,24.1,1384,38.9,2698,19.8,89,1021,4631,5652,0.18064401981599434,Trump +10 or more,9,13.8,37828,2358
2021-05-08,05067,Arkansas,AR ,Jackson,3625,27.1,1711,56,3644,21.8,89,1365,3593,4958,0.2753126260588947,Trump +10 or more,6,10.2,36573,3732
2021-05-08,05069,Arkansas,AR ,Jefferson,13355,25.5,5729,47.7,13472,20.2,89,14882,9500,24382,0.6103683044869166,Biden + 10 or more,3,17.8,38596,13900
2021-05-08,05071,Arkansas,AR ,Johnson,6447,32.1,2514,56.1,6479,24.4,89,2283,6938,9221,0.24758702960633336,Trump +10 or more,7,15.8,39381,5761
2021-05-08,05073,Arkansas,AR ,Lafayette,1314,24.3,711,43.4,1316,19.9,89,839,1757,2596,0.3231895223420647,Trump +10 or more,8,16.5,35527,1498
2021-05-08,05075,Arkansas,AR ,Lawrence,3682,28.8,1730,52.9,3692,22.5,89,1080,4569,5649,0.19118428040361127,Trump +10 or more,6,15,40308,2776
2021-05-08,05077,Arkansas,AR ,Lee,1688,23.4,897,50.2,1690,19.1,89,1423,1286,2709,0.5252860834256183,Biden +/- 10,7,8.9,28080,3098
2021-05-08,05079,Arkansas,AR ,Lincoln,2445,22.4,1108,53.5,2455,18.8,89,1032,2729,3761,0.27439510768412656,Trump +10 or more,3,8.9,44951,2647
2021-05-08,05081,Arkansas,AR ,Little River,1979,20.8,1143,44.5,1988,16.2,89,1226,3714,4940,0.24817813765182187,Trump +10 or more,3,11.4,43559,1942
2021-05-08,05083,Arkansas,AR ,Logan,4956,29.3,2468,56.1,4969,23.1,89,1544,6441,7985,0.19336255479023168,Trump +10 or more,6,12.1,41471,3950
2021-05-08,05085,Arkansas,AR ,Lonoke,17004,31.1,6354,62.8,17170,23.4,89,6684,22884,29568,0.22605519480519481,Trump +10 or more,2,20.3,56651,8651
2021-05-08,05087,Arkansas,AR ,Madison,3303,26,1593,49.6,3314,20,89,1563,5658,7221,0.21645201495637723,Trump +10 or more,2,12.5,42674,3002
2021-05-08,05089,Arkansas,AR ,Marion,3232,23.7,1911,39.3,3240,19.4,89,1531,5783,7314,0.2093245829915231,Trump +10 or more,9,17.2,36581,3082
2021-05-08,05091,Arkansas,AR ,Miller,2784,8.4,1504,20.2,2788,6.4,89,4245,11920,16165,0.262604392205382,Trump +10 or more,3,16.6,42162,9228
2021-05-08,05093,Arkansas,AR ,Mississippi,8120,27,3287,53.7,8150,20,89,4542,7262,11804,0.38478481870552356,Trump +10 or more,4,12.8,36718,10325
2021-05-08,05095,Arkansas,AR ,Monroe,1975,37.1,859,53.3,1990,29.7,89,1146,1545,2691,0.4258639910813824,Trump +10 or more,7,10.5,32922,1769
2021-05-08,05097,Arkansas,AR ,Montgomery,2124,29,1246,51.4,2128,23.7,89,731,3046,3777,0.19353984643897273,Trump +10 or more,8,10.8,38318,1649
2021-05-08,05099,Arkansas,AR ,Nevada,1248,19.6,536,30.9,1253,15.2,89,775,1275,2050,0.3780487804878049,Trump +10 or more,7,15.4,37626,1738
2021-05-08,05101,Arkansas,AR ,Newton,1327,21.2,822,38.9,1331,17.2,89,709,3192,3901,0.18174826967444246,Trump +10 or more,9,16.2,36078,1340
