runid,date,location,short_name,long_name,census2019,date_type,doses_distributed,doses_administered,dist_per_100k,admin_per_100k,administered_moderna,administered_pfizer,administered_janssen,administered_unk_manuf,administered_dose1_recip,administered_dose1_pop_pct,administered_dose2_pop_pct,administered_dose1_recip_18plus,administered_dose1_recip_18plus_pop_pct,administered_18plus,admin_per_100k_18plus,distributed_per_100k_18plus,administered_dose1_recip_65plus,administered_dose1_recip_65plus_pop_pct,administered_65plus,admin_per_100k_65plus,distributed_per_100k_65plus,administered_dose2_recip,administered_dose2_recip_18plus,administered_dose2_recip_18plus_pop_pct,distributed_moderna,distributed_pfizer,distributed_janssen,distributed_unk_manuf,series_complete_moderna,series_complete_pfizer,series_complete_janssen,series_complete_unk_manuf,series_complete_moderna_18plus,series_complete_pfizer_18plus,series_complete_janssen_18plus,series_complete_unk_manuf_18plus,series_complete_moderna_65plus,series_complete_pfizer_65plus,series_complete_janssen_65plus,series_complete_unk_manuf_65plus,series_complete_yes,series_complete_pop_pct,series_complete_18plus,series_complete_18plus_pop_pct,series_complete_65plus,series_complete_65plus_pop_pct,administered_fed_ltc,administered_fed_ltc_dose1,administered_fed_ltc_dose2,series_complete_fed_ltc,administered_dose1,administered_dose1_per_100k,administered_dose2,administered_dose2_per_100k,recip_administered,census2019_18plus_pop,mmwr_week,ratio_admin_dist,administered_dose_other,administered_dose_other_per_100k,skipped,skip_n
1954,2021-05-08,US,USA,United States,331996199,Report,329840055,257347205,99351,77515,111094349,137216849,8844369,191638,151315505,45.6,31.3,148939613,57.7,253974416,98390,127780,45649289,83.5,83915941,153420,603032,103860011,102872498,39.9,138490880,171784275,19564900,0,46112639,57696996,8768721,48415,46033701,56788578,8745340,48287,18698170,18521467,1589084,20471,112626771,33.9,111615907,43.2,38829193,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,0
1954,2021-05-08,AK,AKA,Alaska,731545,Report,777945,571320,106343,78098,254946,300611,15680,83,312475,42.7,34.7,304879,55.3,557906,101150,141044,71883,78.5,135457,147898,849396,253847,248047,45,337540,385905,54500,0,116190,137636,14472,21,115926,132100,14404,21,38344,26956,1648,12,268319,36.7,262451,47.6,66960,73.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,0
1954,2021-05-08,AL,ALA,Alabama,4903185,Report,4277330,2758021,87236,56250,1319294,1355709,83018,0,1649688,33.6,24,1638295,42.9,2741041,71851,112122,629380,74.1,1105163,130044,503312,1179138,1173267,30.8,1903780,2111850,261700,0,566254,612815,84827,69,566127,607071,84787,69,276565,220564,25738,44,1263965,25.8,1258054,33,522911,61.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,0
1954,2021-05-08,AR,ARA,Arkansas,3017804,Report,2677170,1885668,88713,62485,889968,938110,57106,484,1102155,36.5,25.7,1087025,46.9,1863212,80392,115512,387683,74,696082,132870,511025,775225,767820,33.1,1186520,1327950,162700,0,379229,395883,55807,113,378843,388866,55541,111,181988,124372,9040,79,831032,27.5,823361,35.5,315479,60.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,0
1954,2021-05-08,AS,ASA,American Samoa,55689,Report,54030,39666,97021,71228,9004,30640,22,0,22122,39.7,31.7,21349,49.1,38321,88222,124387,2486,26.3,4599,48579,570719,17665,17096,39.4,15600,37830,600,0,3911,13754,29,0,3900,13196,29,0,878,1315,6,0,17694,31.8,17125,39.4,2199,23.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,0
1954,2021-05-08,AZ,AZA,Arizona,7278717,Report,7081205,5337459,97286,73330,2347308,2840125,146630,3396,3065521,42.1,29.3,3018332,53.5,5260392,93294,125587,1047628,80.1,1955584,149437,541115,2132090,2104765,37.3,3048040,3628365,404800,0,938910,1192062,141437,1118,938729,1164920,141345,1116,421856,408490,27242,715,2273527,31.2,2246110,39.8,858303,65.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,0
1954,2021-05-08,BP2,BP2,Bureau of Prisons,0,Report,169240,161237,0,0,62692,95182,3363,0,90964,0,0,90963,0,161236,0,0,3103,0,5804,0,0,69520,69520,0,65900,95940,7400,0,26579,42941,3348,0,26579,42941,3348,0,1292,1375,47,0,72868,0,72868,0,2714,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,0
1954,2021-05-08,CA,CAA,California,39512223,Report,42020680,32759885,106349,82911,14272395,17326576,1157068,3846,20172726,51.1,31.4,19756044,64.5,32199355,105166,137244,5159869,88.4,9091135,155720,719765,12399862,12256990,40,17539300,22008480,2472900,0,5620113,6778836,1147429,913,5612715,6643369,1143283,906,2068283,1786221,120026,433,13547291,34.3,13400273,43.8,3974963,68.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,0
1954,2021-05-08,CO,COA,Colorado,5758736,Report,5861710,4818646,101788,83675,2145933,2516955,154496,1262,2788171,48.4,34.3,2731090,60.7,4734119,105221,130283,706771,83.9,1336832,158691,695825,1974413,1947091,43.3,2482620,3069690,309400,0,905295,1068757,152518,361,904067,1042668,151900,356,311965,295417,13809,158,2126931,36.9,2098991,46.7,621349,73.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,0
1954,2021-05-08,CT,CTA,Connecticut,3565287,Report,4077035,3475019,114354,97468,1408510,1934428,131805,276,2034240,57.1,39.9,1989426,70.1,3413476,120284,143666,575531,91.3,1095595,173837,646898,1421453,1405648,49.5,1667400,2174835,234800,0,598174,823217,131887,62,597895,807692,131779,61,204461,303106,13108,20,1553340,43.6,1537427,54.2,520695,82.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,0
