runid,date,location,short_name,long_name,census2019,date_type,doses_distributed,doses_administered,dist_per_100k,admin_per_100k,administered_moderna,administered_pfizer,administered_janssen,administered_unk_manuf,administered_dose1_recip,administered_dose1_pop_pct,administered_dose2_pop_pct,administered_dose1_recip_18plus,administered_dose1_recip_18plus_pop_pct,administered_18plus,admin_per_100k_18plus,distributed_per_100k_18plus,administered_dose1_recip_65plus,administered_dose1_recip_65plus_pop_pct,administered_65plus,admin_per_100k_65plus,distributed_per_100k_65plus,administered_dose2_recip,administered_dose2_recip_18plus,administered_dose2_recip_18plus_pop_pct,distributed_moderna,distributed_pfizer,distributed_janssen,distributed_unk_manuf,series_complete_moderna,series_complete_pfizer,series_complete_janssen,series_complete_unk_manuf,series_complete_moderna_18plus,series_complete_pfizer_18plus,series_complete_janssen_18plus,series_complete_unk_manuf_18plus,series_complete_moderna_65plus,series_complete_pfizer_65plus,series_complete_janssen_65plus,series_complete_unk_manuf_65plus,series_complete_yes,series_complete_pop_pct,series_complete_18plus,series_complete_18plus_pop_pct,series_complete_65plus,series_complete_65plus_pop_pct,administered_fed_ltc,administered_fed_ltc_dose1,administered_fed_ltc_dose2,series_complete_fed_ltc,administered_dose1,administered_dose1_per_100k,administered_dose2,administered_dose2_per_100k,recip_administered,census2019_18plus_pop,mmwr_week,ratio_admin_dist,administered_dose_other,administered_dose_other_per_100k,skipped,skip_n
1946,2021-05-06,US,USA,United States,331996199,Report,324610185,251973752,97775,75897,109041458,134116885,8627243,188166,149462265,45,30.2,147079927,57,248843481,96402,125754,45406761,83,83376984,152435,593471,100387024,99530750,38.6,136609020,168668565,19332600,0,44786084,55541453,8551843,47247,44713084,54768700,8529697,47135,18505462,18318965,1553721,19897,108926627,32.8,108058616,41.9,38398045,70.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,0
1946,2021-05-06,AK,AKA,Alaska,731545,Report,776005,567031,106078,77511,253628,298062,15262,79,310415,42.4,34.4,302911,54.9,553872,100419,140692,71684,78.3,135113,147523,847278,251783,246151,44.6,335600,385905,54500,0,115495,136269,14086,19,115234,130898,14020,19,38268,26857,1598,10,265869,36.3,260171,47.2,66733,72.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,0
1946,2021-05-06,AL,ALA,Alabama,4903185,Report,4225140,2673181,86171,54519,1278849,1317478,76854,0,1619783,33,22.9,1609043,42.2,2658349,69684,110754,623086,73.3,1086952,127901,497171,1122643,1118289,29.3,1883680,2080260,261200,0,537922,584657,78660,64,537818,580407,78624,64,269254,215910,23968,41,1201303,24.5,1196913,31.4,509173,59.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,0
1946,2021-05-06,AR,ARA,Arkansas,3017804,Report,2659090,1860521,88113,61651,876693,926853,56502,473,1094338,36.3,25.1,1079580,46.6,1839191,79356,114732,386450,73.8,691939,132079,507574,757955,751308,32.4,1180240,1316250,162600,0,369663,388181,55189,111,369329,381870,54926,109,179917,123585,8910,76,813144,26.9,806234,34.8,312488,59.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,0
1946,2021-05-06,AS,ASA,American Samoa,55689,Report,54030,39268,97021,70513,8878,30368,22,0,22002,39.5,31.2,21235,48.9,37947,87361,124387,2470,26.1,4577,48347,570719,17370,16819,38.7,15600,37830,600,0,3860,13510,29,0,3850,12969,29,0,874,1298,6,0,17399,31.2,16848,38.8,2178,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,0
1946,2021-05-06,AZ,AZA,Arizona,7278717,Report,6970425,5259733,95764,72262,2308604,2805936,141937,3256,3037050,41.7,28.7,2991032,53,5185677,91969,123622,1043851,79.8,1945344,148655,532649,2085525,2060009,36.5,3000100,3567525,402800,0,914483,1169967,136932,1075,914315,1144620,136841,1074,418211,406445,26280,697,2222457,30.5,2196850,39,851633,65.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,0
1946,2021-05-06,BP2,BP2,Bureau of Prisons,0,Report,169240,158313,0,0,61301,94048,2964,0,89447,0,0,89446,0,158312,0,0,3073,0,5765,0,0,68117,68117,0,65900,95940,7400,0,25683,42434,2950,0,25683,42434,2950,0,1286,1372,43,0,71067,0,71067,0,2701,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,0
1946,2021-05-06,CA,CAA,California,39512223,Report,41020990,31997303,103818,80981,14020123,16841957,1131506,3717,19913673,50.4,30.1,19513737,63.7,31479388,102815,133979,5139668,88,9042241,154883,702641,11895532,11778541,38.5,17269560,21300630,2450800,0,5456675,6437988,1121948,869,5449861,6327815,1117970,865,2055188,1770652,117134,422,13017480,32.9,12896511,42.1,3943396,67.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,0
1946,2021-05-06,CO,COA,Colorado,5758736,Report,5772220,4711738,100234,81819,2107291,2451816,151391,1240,2760181,47.9,32.9,2704671,60.1,4633524,102985,128294,704809,83.7,1330986,157997,685202,1896502,1873896,41.6,2465800,2998320,308100,0,875648,1020505,149401,349,874601,998951,148806,344,310123,293545,13467,152,2045903,35.5,2022702,45,617287,73.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,0
1946,2021-05-06,CT,CTA,Connecticut,3565287,Report,4021155,3398443,112786,95320,1380322,1888864,128988,269,2014587,56.5,38.3,1970827,69.4,3341073,117733,141697,573583,91,1090799,173076,638031,1364520,1351819,47.6,1644140,2144415,232600,0,577458,787002,129051,60,577185,774575,128943,59,203338,301418,12646,20,1493571,41.9,1480762,52.2,517422,82.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,0
1946,2021-05-06,DC,DCA,District of Columbia,705749,Report,904745,631309,128196,89452,247572,362614,21084,39,350697,49.7,28.7,348138,60.3,628675,108846,156644,68297,78.2,148452,169964,1035850,202671,201844,34.9,361120,494325,49300,0,82669,119971,24918,31,82658,119157,24903,29,29151,22224,1675,9,227589,32.2,226747,39.3,53059,60.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,0
1946,2021-05-06,DD2,DD2,Dept of Defense,0,Report,3962240,3047154,0,0,1346949,1622285,77521,399,1852116,0,0,1834333,0,3023572,0,0,164825,0,284991,0,0,1117062,1111617,0,1671400,2116140,174700,0,487942,629120,74606,0,487895,623722,74586,0,40232,71335,3364,0,1191668,0,1186203,0,114931,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,0
1946,2021-05-06,DE,DEA,Delaware,973764,Report,1041915,793463,106999,81484,320715,437220,35287,241,467051,48,31.3,460708,59.8,784049,101799,135280,167132,88.5,309268,163715,551552,304335,302427,39.3,439900,545415,56600,0,124878,179346,34638,111,124839,177477,34613,111,57457,76586,7057,72,338973,34.8,337040,43.8,141172,74.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,0
1946,2021-05-06,FL,FLA,Florida,21477737,Report,21683965,15893169,100960,73998,6877863,8397948,590996,26362,9264665,43.1,28.3,9174178,53.2,15776335,91469,125720,3818484,84.9,7264793,161535,482151,6080377,6055211,35.1,8945060,11227905,1511000,0,2718450,3353351,583906,8576,2717776,3328861,583629,8574,1589514,1433192,135589,6650,6664283,31,6638840,38.5,3164945,70.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,0
1946,2021-05-06,FM,FMA,Federated States of Micronesia,103643,Report,63200,36322,60979,35045,35928,0,394,0,21446,20.7,14.3,21429,26.5,36301,44904,78177,1890,10.7,3303,18747,358704,14866,14862,18.4,61600,0,1600,0,14839,27,394,0,14835,27,394,0,1425,5,75,0,15260,14.7,15256,18.9,1505,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,0
1946,2021-05-06,GA,GAA,Georgia,10617423,Report,9888925,6552673,93139,61716,2945174,3460379,146673,447,3786912,35.7,24.7,3734870,46,6477391,79834,121882,1163105,76.7,2202305,145179,651894,2619791,2596675,32,4203980,5138445,546500,0,1218799,1400726,143854,266,1218569,1377842,143644,264,546423,404784,18644,146,2763645,26,2740319,33.8,969997,63.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,0
1946,2021-05-06,GU,GUA,Guam,165768,Report,173470,134208,104646,80961,52824,79999,1385,0,77817,46.9,33.5,75610,58.5,130896,101235,134162,13804,49,25694,91175,615557,55598,54495,42.1,63700,98670,11100,0,21268,34330,1393,0,21264,33231,1393,0,5003,6726,113,0,56991,34.4,55888,43.2,11842,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,0
1946,2021-05-06,HI,HIA,Hawaii,1415872,Report,1557800,1264550,110024,89312,446248,702539,22003,93760,766427,54.1,35.5,753386,67.5,1249706,111980,139587,232888,86.8,415740,154868,580299,501945,499574,44.8,627180,857220,73400,0,182344,301530,22470,18071,182185,299335,22390,18054,76696,106079,4755,1409,524415,37,521964,46.8,188939,70.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,0
1946,2021-05-06,IA,IAA,Iowa,3155070,Report,2935265,2495695,93033,79101,1130915,1268628,96030,122,1421845,45.1,33.6,1403223,57.8,2468358,101653,120881,474035,85.7,911550,164851,530833,1058785,1050370,43.3,1265860,1501305,168100,0,508935,549797,94307,53,508863,541454,94257,53,237207,195398,8022,39,1153092,36.5,1144627,47.1,440666,79.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,0
